City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Bandarbeyla,SO,9.4942,50.8122,76.1,81,88,29.62,overcast clouds
130,Cartagena,CO,10.3997,-75.5144,83.82,79,75,9.22,broken clouds
131,Dingle,PH,10.9995,122.6711,75.27,91,100,3.11,overcast clouds
132,Nome,US,64.5011,-165.4064,55.17,66,0,17.27,clear sky
133,Tokur,RU,53.1333,132.9,61.54,86,55,2.73,broken clouds
134,Ordu,TR,40.9086,37.6845,63.1,94,72,0.38,broken clouds
135,Lavrentiya,RU,65.5833,-171.0,50.18,67,22,6.58,few clouds
136,Yerbogachen,RU,61.2767,108.0108,48.58,96,100,7.56,light rain
137,Ararat,AM,39.8317,44.7049,80.94,52,5,4.16,clear sky
138,Pando,UY,-34.7167,-55.95,50.4,81,0,5.75,clear sky
139,Bonavista,CA,48.6499,-53.1147,61.21,76,72,10.58,broken clouds
140,Asbestos,CA,45.7668,-71.9324,87.76,85,19,4.32,few clouds
141,Rio Gallegos,AR,-51.6226,-69.2181,37.45,93,75,5.75,fog
142,Tocopilla,CL,-22.092,-70.1979,62.08,65,1,10.74,clear sky
143,Wad Rawah,SD,15.1603,33.1397,83.8,58,100,6.33,overcast clouds
144,Nabisar,PK,25.0685,69.6419,86.74,72,78,8.23,broken clouds
145,Liepaja,LV,56.5419,21.0367,64.38,68,0,5.75,clear sky
146,Rosetown,CA,51.5501,-108.0014,71.58,26,0,12.66,clear sky
147,Staryy Oskol,RU,51.2967,37.8417,67.19,56,0,5.28,clear sky
148,Gavle,SE,60.6745,17.1417,50.38,87,86,1.01,overcast clouds
149,Plouzane,FR,48.3833,-4.6167,59.05,77,0,6.91,clear sky
150,Blagodatnoye,RU,45.3997,42.5867,65.32,69,6,7.2,clear sky
151,Wilmington,US,34.2257,-77.9447,87.94,68,20,10.36,few clouds
152,Alofi,NU,-19.0595,-169.9187,73.29,83,100,14.97,overcast clouds
153,Ponta Do Sol,PT,32.6667,-17.1,70.43,73,1,4.88,clear sky
154,Aklavik,CA,68.2191,-135.0107,57.2,82,75,4.61,light rain
155,Hasaki,JP,35.7333,140.8333,79.29,77,16,6.93,few clouds
156,Leningradskiy,RU,69.3833,178.4167,37.45,95,100,4.41,light rain
