City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
281,Trat,TH,81.88,light rain,12.5,102.5,สวนหนิง-อัศ
284,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
285,Kakucs,HU,76.96,broken clouds,47.242,19.3647,Bagolyvár Inárcs
286,Balabac,PH,81.54,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
287,San Patricio,US,91.18,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
288,Sinnamary,GF,78.76,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
289,Caravelas,BR,71.38,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
292,Xiuyan,CN,74.1,light rain,40.2928,123.2744,Helin Holiday Hotel
294,Luchegorsk,RU,72.91,overcast clouds,46.4764,134.2569,Mirazh
296,Kawalu,ID,70.84,overcast clouds,-7.3817,108.2082,West Jontor
297,Chapais,CA,76.78,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
299,Buchanan,LR,75.42,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
303,Dwarka,IN,81.48,moderate rain,22.2394,68.9678,Hotel Narayan Avezika Comfort
305,Millville,US,88.09,clear sky,39.4021,-75.0393,Fairfield Inn & Suites by Marriott Millville Vineland
306,Kalemie,CD,70.68,few clouds,-5.9475,29.1947,Mahobilali
309,San Jose,US,85.84,clear sky,37.3394,-121.895,The Westin San Jose
311,Yuanping,CN,75.07,overcast clouds,38.7153,112.7575,Yuanping Xinghe Guesthouse
315,Yazd,IR,89.71,clear sky,31.8972,54.3675,Mozaffar Traditional Hotel
316,Hamilton,US,84.24,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
319,Tingo Maria,PE,80.91,few clouds,-9.2895,-76.0088,Hospedaje Paraíso
320,Amuntai,ID,71.98,moderate rain,-2.4177,115.2494,Hotel Balqis
322,Kassala,SD,77.05,overcast clouds,15.451,36.4,Amassi Hotel Gash
323,Alexandria,EG,79.29,clear sky,31.2156,29.9553,Royal Crown Hotel
324,Petatlan,MX,83.14,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
325,Puerto Leguizamo,CO,77.61,overcast clouds,-0.1934,-74.7819,la casona de juancho
326,Ocho Rios,JM,81.81,overcast clouds,18.4025,-77.1048,Hibiscus Lodge
328,Linqiong,CN,76.82,few clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
332,Ukiah,US,91.65,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
333,Sao Jose Da Coroa Grande,BR,74.62,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
334,Howard Springs,AU,75.11,clear sky,-12.497,131.047,buffalo beach hostel
336,Kuching,MY,75.42,few clouds,1.55,110.3333,Hilton Kuching
337,Kavieng,PG,82.78,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
339,Champerico,GT,82.94,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
340,Gainesville,US,89.78,clear sky,29.6516,-82.3248,Stayable Select
341,Ellensburg,US,89.02,clear sky,46.9965,-120.5479,"Holiday Inn Express Ellensburg, an IHG Hotel"
344,Sorong,ID,77.25,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
347,Puri,IN,79.32,moderate rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
348,Lagoa,PT,74.43,light rain,39.05,-27.9833,Casa Das Faias
350,Namatanai,PG,82.65,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
353,Montes Altos,BR,83.53,scattered clouds,-5.8333,-47.0667,Hotel e Restaurante Manaaim
355,Lafiagi,NG,73.83,light rain,8.8667,5.4167,Bus group international
357,Barra Do Garcas,BR,78.96,broken clouds,-15.89,-52.2567,Pousada Tropical
358,Balkhash,KZ,70.2,scattered clouds,46.844,74.9804,Family
359,Puerto Del Rosario,ES,71.35,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
360,Filadelfia,US,89.94,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
365,Halifax,CA,80.49,scattered clouds,44.6453,-63.5724,Hotel Halifax
366,Buala,SB,84.43,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
370,Samarai,PG,79.97,scattered clouds,-10.6167,150.6667,Nuli Sapi
371,Cairns,AU,76.06,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
373,Hirara,JP,82.67,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
375,Ndioum,SN,80.49,overcast clouds,16.5129,-14.6471,l'hôtel samassa
376,Sampit,ID,71.04,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
377,Porto Novo,BJ,75.02,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
378,Vao,NC,74.43,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
380,Praia,CV,79.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
382,Maneadero,MX,71.1,overcast clouds,31.7167,-116.5667,Casa De Thompson
384,Jaciara,BR,80.55,scattered clouds,-15.9653,-54.9683,Taba Hotel
385,Joshimath,IN,70.93,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
388,Paungde,MM,75.27,overcast clouds,18.4833,95.5,Shwe Eain Matt highly cool guest house
390,Wewak,PG,82.22,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
391,Karera,IN,83.07,overcast clouds,25.4667,78.15,श्री हिमांशु जोशी (निवास)
393,Kapit,MY,72.81,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
394,La Ronge,CA,73.65,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
395,Sur,OM,86.16,few clouds,22.5667,59.5289,Sur Plaza Hotel
